Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, rC1, rC2",0402,4,27p,
"C10, C12, C13, C14, C15, C3, C4, C7, C9, rC10, rC12, rC13, rC14, rC15, rC3, rC4, rC7, rC9",0402,18,100n,
"C11, C6, rC11, rC6",0402,4,10u,
"C16, C5, C8, rC16, rC5, rC8",0402,6,1u,
"D1, rD1",D_SOD-523,2,1N4148WT,C232841
"EXLED1, EXLED2, LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9, rEXLED1, rEXLED2, rLED1, rLED10, rLED11, rLED12, rLED13, rLED14, rLED15, rLED16, rLED17, rLED18, rLED19, rLED2, rLED20, rLED21, rLED3, rLED4, rLED5, rLED6, rLED7, rLED8, rLED9",YS-SK6812MINI-E,46,YS-SK6812MINI-E,C5149201
"EXSW1, EXSW2, rEXSW1, rEXSW2",keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,4,RotaryEncoder_Switch,C5333465
"F1, rF1",0603,2,BSMD0603-050-12V,C2844464
"J1, rJ1",TYPE-C-31-M-13C,2,TYPE-C-31-M-13C,C2848620
"J2, rJ2",PJ-606-6A,2,PJ-606-6A,C145806
"R1, R2, rR1, rR2",0402,4,5.1k,
"R3, R6, rR3, rR6",0402,4,1k,
"R4, R5, rR4, rR5",0402,4,27,
"R7, rR7",0402,2,10k,
"SMDSW1, SMDSW2, rSMDSW1, rSMDSW2",TS-1088R-02026,4,TS-1088R-02026,C455280
"SW1, rSW1",keyswitch_choc12_hotswap_1.5u,2,SW_Push,C5333465
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW3, SW4, SW5, SW6, SW7, SW8, SW9, rSW10, rSW11, rSW12, rSW13, rSW14, rSW15, rSW16, rSW17, rSW18, rSW19, rSW2, rSW20, rSW21, rSW3, rSW4, rSW5, rSW6, rSW7, rSW8, rSW9",keyswitch_choc12_hotswap_1u,40,SW_Push,C5333465
"U1, rU1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,C2040
"U2, rU2",SOT-223-3_TabPin2,2,NCP1117LPST33T3G,C146799
"U3, rU3",USON-10_2.5x1.0mm_P0.5mm,2,TPD4E05U06DQAR,C138714
"U4, rU4",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVSIQ,C113767
"Y1, rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz 18pF,C91749
"ZD1, rZD1",D_SOD-523,2,ESD5Z5V0C,C2901325
