Designator,Mid X,Mid Y,Rotation,Layer
C1,-32.697,-55.67995,0.0,bottom
C10,-44.726998,-43.96995,90.0,bottom
C11,-14.977,-44.42995,90.0,bottom
C12,-40.476998,-40.61,0.0,bottom
C13,-40.476998,-39.54,0.0,bottom
C14,-29.407,-40.81495,180.0,bottom
C15,-35.787,-37.95125,90.0,bottom
C16,-19.482,-44.4,0.0,bottom
C2,-34.857,-55.71995,180.0,bottom
C3,-38.231998,-49.89125,270.0,bottom
C4,-34.761998,-37.95125,90.0,bottom
C5,-38.977,-37.94125,90.0,bottom
C6,-0.037,-47.18995,90.0,bottom
C7,-37.081998,-49.89125,270.0,bottom
C8,-40.017,-37.94125,90.0,bottom
C9,-27.132,-47.05125,180.0,bottom
D1,14.118,-0.7,180.0,bottom
EXLED1,25.593,-1.6975,0.0,bottom
EXLED2,25.593,-20.7475,0.0,bottom
EXSW1,25.593,-6.435,0.0,bottom
EXSW2,25.593,-25.485,0.0,bottom
F1,17.063008,8.12625,90.0,bottom
J1,27.593,9.52875,180.0,bottom
J2,29.148,-41.06625,0.0,bottom
LED1,16.283,-56.39125,293.88,bottom
LED10,-31.557,-25.51,0.0,bottom
LED11,-31.557,-6.46,0.0,bottom
LED12,-31.557,12.59,0.0,bottom
LED13,-50.607,10.20875,0.0,bottom
LED14,-50.607,-8.84125,0.0,bottom
LED15,-50.607,-27.89125,0.0,bottom
LED16,-69.657,-32.65375,0.0,bottom
LED17,-69.657,-13.60375,0.0,bottom
LED18,-69.657,5.44625,0.0,bottom
LED19,-88.707,5.44625,0.0,bottom
LED2,6.543,-30.2725,0.0,bottom
LED20,-88.707,-13.60375,0.0,bottom
LED21,-88.707,-32.65375,0.0,bottom
LED3,6.543,-11.2225,0.0,bottom
LED4,6.543,7.8275,0.0,bottom
LED5,-12.507,10.20875,0.0,bottom
LED6,-12.507,-8.84125,0.0,bottom
LED7,-12.507,-27.89125,0.0,bottom
LED8,-0.237,-51.59125,11.939999999999998,bottom
LED9,-22.032,-49.31125,0.0,bottom
R1,20.463,8.87875,270.0,bottom
R2,34.753,8.83875,270.0,bottom
R3,-35.257,-50.17995,180.0,bottom
R4,-36.851998,-37.96125,270.0,bottom
R5,-37.917,-37.96125,90.0,bottom
R6,-46.936998,-43.98,270.0,bottom
R7,-45.836998,-43.98,270.0,bottom
SMDSW1,-55.087,-43.77625,270.0,bottom
SMDSW2,-51.237,-43.77625,270.0,bottom
SW1,20.624365,-58.317713,293.88,bottom
SW10,-31.557,-30.2475,0.0,bottom
SW11,-31.557,-11.1975,0.0,bottom
SW12,-31.557,7.8525,0.0,bottom
SW13,-50.607,5.47125,0.0,bottom
SW14,-50.607,-13.57875,0.0,bottom
SW15,-50.607,-32.62875,0.0,bottom
SW16,-69.657,-37.39125,0.0,bottom
SW17,-69.657,-18.34125,0.0,bottom
SW18,-69.657,0.70875,0.0,bottom
SW19,-88.707,0.70875,0.0,bottom
SW2,6.543,-35.01,0.0,bottom
SW20,-88.707,-18.34125,0.0,bottom
SW21,-88.707,-37.39125,0.0,bottom
SW3,6.543,-15.96,0.0,bottom
SW4,6.543,3.09,0.0,bottom
SW5,-12.507,5.47125,0.0,bottom
SW6,-12.507,-13.57875,0.0,bottom
SW7,-12.507,-32.62875,0.0,bottom
SW8,-1.217474,-56.236677,11.938999999999993,bottom
